raw_name,canonical_name
Diablo,Diablo
Milwaukee,Milwaukee
Milw,Milwaukee
Kichler,Kichler
DeWalt,DeWalt
Dewalt,DeWalt
Makita,Makita
Festool,Festool
3M,3M
Mirka,Mirka
HIOLIT,Mirka
Abranet,Mirka
Frigidaire,FRIGIDAIRE
FRIGIDAIRE,FRIGIDAIRE
Whirlpool,Whirlpool
LG,LG
GE,GE
Speed Queen,Speed Queen
Satco,Satco
Philips,Philips
Phillips,Philips
Kreg,Kreg
Leviton,Leviton
Hunter,Hunter
Bosch,Bosch
Irwin,Irwin
Senco,Senco
CMT,CMT
Southwire,Southwire
Streamlight,Streamlight
Maxsa,Maxsa
Azek,Azek
Trex,Trex
SawStop,SawStop
Vessel,Vessel
Wera,Wera
Woodpeckers,Woodpeckers
Feit,Feit Electric
Lithonia,Lithonia Lighting
First Alert,First Alert
ProVia,ProVia
Velux,Velux
Edge,Edge Eyewear
Malco,Malco
Marshalltown,Marshalltown
Hager,Hager
Oliver,Oliver Machinery
JPW,JPW Industries
King Canada,King Canada
Prebena,Prebena
Radians,Radians
Sabre,Sabre
Square D,Square D
Thomas & Betts,Thomas & Betts
Prime Wire,Prime Wire & Cable
