raw_name,canonical_name
Freud Inc (2435),Freud Inc
Freud Inc,Freud Inc
Milwaukee Accessory (4031),Milwaukee Electric Tool
Milwaukee Accessory,Milwaukee Electric Tool
Black & Decker/dewlt (2585),Stanley Black & Decker
Black & Decker/dewlt,Stanley Black & Decker
Kichler Lighting (KICLI),Kichler Lighting
Kichler Lighting,Kichler Lighting
Phillips Lighting (5831),Signify (Philips Lighting)
Phillips Lighting,Signify (Philips Lighting)
Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative
Appliance Dealers Cooperative,Appliance Dealers Cooperative
Parksite (6151),Parksite
Parksite,Parksite
Boise Cascade Building Materials (BOICA),Boise Cascade
Boise Cascade Building Materials,Boise Cascade
Makita Usa Inc (5142),Makita U.S.A. Inc
Makita Usa Inc,Makita U.S.A. Inc
Festool USA (FESTO),Festool USA
Festool USA,Festool USA
3 M Co (5293),3M Company
3 M Co,3M Company
Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply
Jam Industrial Supply LLC,Jam Industrial Supply
Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc
Mirka Abrasives Inc,Mirka Abrasives Inc
Satco Prod Inc (5573),Satco Products Inc
Satco Prod Inc,Satco Products Inc
Leviton Mfg Co (4927),Leviton Manufacturing Co
Leviton Mfg Co,Leviton Manufacturing Co
Southwire/g Turner (6603),Southwire Company
Southwire/g Turner,Southwire Company
U S Lumber (3073),U.S. Lumber
U S Lumber,U.S. Lumber
U S Tape Company (6694),U.S. Tape Company
U S Tape Company,U.S. Tape Company
Hunter Fan Co (4381),Hunter Fan Company
Hunter Fan Co,Hunter Fan Company
Kreg Tool Company (KRETO),Kreg Tool Company
Kreg Tool Company,Kreg Tool Company
Robt Bosch Tool Corp (6564),Robert Bosch Tool Corporation
Robt Bosch Tool Corp,Robert Bosch Tool Corporation
Irwin Industrial Tools (5863),Irwin Industrial Tools
Irwin Industrial Tools,Irwin Industrial Tools
Senco Products Inc (4650),Senco Products Inc
Senco Products Inc,Senco Products Inc
CMT USA Inc (CMTUS),CMT USA Inc
CMT USA Inc,CMT USA Inc
Saw Stop LLC (SAWST),SawStop LLC
Saw Stop LLC,SawStop LLC
Oliver Machinery Company (OLIMA),Oliver Machinery Company
Oliver Machinery Company,Oliver Machinery Company
Lithonia Lighting (2776),Acuity Brands (Lithonia Lighting)
Lithonia Lighting,Acuity Brands (Lithonia Lighting)
Cooper Lighting (7638),Eaton Cooper Lighting
Cooper Lighting,Eaton Cooper Lighting
Cooper Wiring Devices (3560),Eaton Cooper Wiring
Cooper Wiring Devices,Eaton Cooper Wiring
Feit Electric (3468),Feit Electric
Feit Electric,Feit Electric
Streamlight (7277),Streamlight Inc
Streamlight,Streamlight Inc
Tech Gear 5.7 Inc (TECGE),Tech Gear 5.7 Inc
Tech Gear 5.7 Inc,Tech Gear 5.7 Inc
First Alert - B R K Brands (2754),First Alert
First Alert - B R K Brands,First Alert
Edge Eyewear Inc (EDGSA),Edge Eyewear
Edge Eyewear Inc,Edge Eyewear
Vessel Tools USA Inc (VESTO),Vessel Tools USA
Vessel Tools USA Inc,Vessel Tools USA
Wera Tools NA Inc (WERTO),Wera Tools
Wera Tools NA Inc,Wera Tools
Woodpeckers Inc (WOODP),Woodpeckers Inc
Woodpeckers Inc,Woodpeckers Inc
JPW Industries (JPWIN),JPW Industries
JPW Industries,JPW Industries
Palmer Donavin Mfg Company (PALDO),Palmer Donavin Mfg Company
Palmer Donavin Mfg Company,Palmer Donavin Mfg Company
National Nail Corp (7439),National Nail Corporation
National Nail Corp,National Nail Corporation
Hager Hinge Co (4189),Hager Companies
Hager Hinge Co,Hager Companies
Premier Metals (PREME),Premier Metals
Premier Metals,Premier Metals
Prime Wire & Cable (3562),Prime Wire & Cable
Prime Wire & Cable,Prime Wire & Cable
Square D Con Prod Dv (6825),Schneider Electric (Square D)
Square D Con Prod Dv,Schneider Electric (Square D)
Thomas & Betts (7405),ABB (Thomas & Betts)
Thomas & Betts,ABB (Thomas & Betts)
Maxsa Innovations (MAXIN),Maxsa Innovations
Maxsa Innovations,Maxsa Innovations
United Window & Door Manufacturing (UNIWI),United Window & Door Manufacturing
United Window & Door Manufacturing,United Window & Door Manufacturing
Velux America Inc (VELAM),VELUX America Inc
Velux America Inc,VELUX America Inc
ProVia (PRODO),ProVia
ProVia,ProVia
Bow Products (BOWPR),Bow Products
Bow Products,Bow Products
A J Manufacturing Inc (AJMAN),A.J. Manufacturing Inc
A J Manufacturing Inc,A.J. Manufacturing Inc
ACG Brands (1154),ACG Brands
ACG Brands,ACG Brands
Amana Tool Corp (AMATO),Amana Tool Corporation
Amana Tool Corp,Amana Tool Corporation
Certainteed Gypsum (2765),CertainTeed
Certainteed Gypsum,CertainTeed
Emseal Joint Systems Ltd (EMSJO),Emseal Joint Systems
Emseal Joint Systems Ltd,Emseal Joint Systems
Malco Prod (2370),Malco Products
Malco Prod,Malco Products
Marshalltown Trowel (5155),Marshalltown Company
Marshalltown Trowel,Marshalltown Company
Huber Eng Wood LLC (3158),Huber Engineered Woods
Huber Eng Wood LLC,Huber Engineered Woods
J&G Machinery (JGMAC),J&G Machinery
J&G Machinery,J&G Machinery
Keystone (5702),Keystone
Keystone,Keystone
King Canada Inc (KINCA),King Canada
King Canada Inc,King Canada
Metalmark Industrial Inc (METIN),Metalmark Industrial
Metalmark Industrial Inc,Metalmark Industrial
MillerTech Energy Solutions (MILTE),MillerTech Energy Solutions
MillerTech Energy Solutions,MillerTech Energy Solutions
Ohio Firewatch Protection Inc (HOLFS),Ohio Firewatch Protection
Ohio Firewatch Protection Inc,Ohio Firewatch Protection
Prebena (PREBE),Prebena
Prebena,Prebena
Radians (7363),Radians Inc
Radians,Radians Inc
Rees Cast Stone Company (REECA),Rees Cast Stone Company
Rees Cast Stone Company,Rees Cast Stone Company
Sabre (9195),Sabre
Sabre,Sabre
V & V Appliance Parts Inc (VVAPP),V & V Appliance Parts
V & V Appliance Parts Inc,V & V Appliance Parts
Westwood Lumber Sales (WESLU),Westwood Lumber Sales
Westwood Lumber Sales,Westwood Lumber Sales
Whiteside Machine & Repair Co (WHIMA),Whiteside Machine Company
Whiteside Machine & Repair Co,Whiteside Machine Company
Woodstock Intl (3658),Woodstock International
Woodstock Intl,Woodstock International
Woods Wire Southwire (7579),Southwire Company
Woods Wire Southwire,Southwire Company
Fenton Bros Electric Inc (FENBR),Fenton Bros Electric
Fenton Bros Electric Inc,Fenton Bros Electric
Police Security (9470),Police Security
Police Security,Police Security
